imdb_id,imdb_rating,average rating calculated after normalisation
tt3840534,4.2,1.664500017
tt3859980,5.7,3.364356966
tt3862004,5.5,2.148492183
tt4022278,4.7,1.874591158
tt4169250,7.7,4.637722151
tt4262516,3.1,1.22855947
tt4340180,4,2.322222246
tt4358344,7.3,1.462027806
tt4365060,5.7,2.230690344
tt4387040,8,3.196190581
tt4399594,5.4,2.14007141
tt4434004,7.8,4.616547668
tt4505006,6.1,3.644749878
tt4559006,5.8,3.499103285
tt4579982,4.4,1.743761921
tt4600778,6.5,1.301805744
tt4642936,5,1.940476171
tt4659548,6.8,2.699222292
tt4675030,3.7,2.186083369
tt4683366,6.4,2.524444599
tt4744086,5.8,2.2410556
tt4807830,6.8,1.361888895
tt4814290,7.2,4.288571265
tt4832640,7,4.198611139
tt4857886,6.4,3.779047752
tt4864932,5.2,2.018095171
tt4900716,7.7,4.517333274
tt4906984,5.8,3.493349314
tt4940456,4.6,2.715095129
tt4979082,5.6,2.227111107
tt4979160,3.8,0.744920651
tt5074352,8.4,4.965333234
tt5108476,3.9,2.288000109
tt5120640,7.2,2.857999862
tt5130348,5.8,2.2410556
tt5156746,6.2,2.406190377
tt5165344,7.1,4.200551386
tt5197544,5.3,3.109333417
tt5209420,4.4,1.700111135
tt5216810,6,1.201666589
tt5227468,2.9,1.711690508
tt5235880,3.2,1.857015941
tt5240748,5.6,1.065999966
tt5286444,7.7,4.549722156
tt5290620,1.9,0.361678537
tt5310090,7.6,4.558491947
tt5313980,4.3,0.818535844
tt5343678,5.7,3.372273651
tt5456810,5.8,2.2656826
tt5472758,6.4,2.47288905
tt5518128,4.3,0.833892989
tt5571734,8.2,3.232491897
tt5600714,8,4.734920714
tt5615116,6.5,2.603353259
tt5632164,5.3,3.117746125
tt5637188,5.7,1.085035597
tt5638474,4.3,2.570273925
tt5638500,4.1,1.681976136
tt5639388,4.5,2.728214291
tt5662932,7.3,4.318877071
tt5713232,7.5,4.425000071
tt5717110,4.8,1.902285809
tt5743656,6.9,4.109880967
tt5752374,5.7,1.141583225
tt5752458,6.4,1.218285802
tt5755606,5,2.995634981
tt5760490,5,1.940476171
tt5784778,7.1,2.813797412
tt5909308,7.4,1.408642891
tt5928576,6.1,1.221694256
tt5933706,3.2,1.295492105
tt5943306,4.9,1.93900004
tt5946128,7.6,3.011952266
tt5997928,7.1,2.77350773
tt6040012,6.9,4.100571462
tt6041458,5.4,2.155499993
tt6046994,4,2.36190478
tt6118134,4.9,0.963666628
tt6206564,7.5,4.412797681
tt6278732,7.5,2.896130962
tt2140465,7.7,4.517333274
tt2140465,7.7,4.517333274
tt2190820,4.6,0.892071382
tt2202086,5.8,3.395992188
tt2361746,6.4,2.536381098
tt2424988,7.1,1.378583178
tt2424988,7.1,1.378583178
tt2585654,4.5,0.856607087
tt2614722,6.6,2.578190444
tt2708644,3.6,1.390999968
tt2800452,3.8,1.484412646
tt2872050,5.4,3.21942861
tt2962230,3.9,0.742392892
tt2976182,3.3,1.966380904
